,Earhart,Ford,Hillenbrand,Wiley,Windsor
2023-10-01,"['090c472f-10e1-4c5c-8187-cd098cfded34', 'b52e5008-0262-4ae9-b570-3bf941ecb167', '8df60932-eba2-4a1f-ab71-9817a529ab5e']","['dcd39e1f-edbf-4755-8899-502ed061421e', '4a61b813-4401-4175-93f2-b766eff1c8b3', '2b05f793-109a-4415-9bdc-84b14e2be63c', 'a3ba4737-5abe-4822-baf2-96ba7213ebf2']","['9de30923-5d29-43f9-8501-013fb926d927', 'e8c36e66-564d-4fa0-8238-e01e618b2b4c', 'bd98ca48-2053-4014-96dd-56c047b9a8df', '9e24aef2-0e8e-4100-817a-c6a41f64e05a']","['f11b635c-501b-4220-b104-68419aa508db', 'b8d0b4da-111c-472d-af8b-330fd21cb33c', 'd4fb06e3-7f5d-427e-b007-4ea564c7ee69']","['dedc1e18-5921-407c-af28-bcbc8161cb87', 'e69f269c-e663-4ff2-8097-1ff055e31fb2', '9d6219a8-fcda-4e1a-b89b-d5363490e56f']"
2023-10-02,"['f316de80-348d-4406-a435-8506c57f686a', '49ebf8ca-1281-42ac-87fa-8ef452ecec5f', 'a1e48409-d65c-48dc-b859-b56e23485e52']","['205f986d-b384-4484-a8fa-121c61e6d9dd', '86129876-c1d2-4667-adc0-7c105c798a0c', 'a95f5f4e-a256-4788-8dfc-88c7a7074000', 'e4f77977-b97e-489a-9a93-69df07130032']","['e74294aa-cfb2-471d-8b2e-55db5c2a7e08', '7d4c1047-aafa-4d41-a5af-fe72fce84eab', '98222650-51cc-4723-9375-b680c78399c3', '78112df7-72e4-40c0-a9dd-8233c7e75dea']","['bacc8939-5e17-456f-936e-1cbb83ea23b8', '4b790066-e369-4321-a7a2-baf9a9615182', '77a60165-fa48-416d-920a-a1a6d29020b8']","['e50ac2d4-7c21-4905-b188-c7b28b8f3339', 'ebd4c58d-e588-49f6-a829-0597a0e4c0e3', '85d393f4-291b-4dfd-8d9d-e1ae4a1d97e2']"
2023-10-03,"['b5dde27f-7a50-4ab7-82c1-605f39f26d45', '9d687b1e-8275-4ce4-b5cf-fbdf891c6853', '3d2c1e80-6346-49f7-a096-360af418e2d5']","['b1d775e5-b348-4a27-9ef1-1b81949b02a7', '8bdee1a7-5df5-469a-8f6a-5dd5fd45c36c', '3e35c484-0ede-424e-9a5c-db4278b5d649', 'f4aa6c61-c3d7-405a-a77c-a08da168d227']","['78fbe723-4b6e-47ac-a477-ccb8c41897d8', '1ad031ba-5b81-4fca-950d-5b342c921bc2', '25d45d08-45fd-4b57-aaef-ecd7756f0de9', '4e88a3dc-163c-4ccc-8503-1b1e85b817d3']","['282a5cdb-45aa-4086-814f-f3f4aeaee2e4', 'ae505fcd-d9a2-4627-8cc6-c347767da721', 'a743a0cb-3e4e-4a96-b233-993bcdbfda81']","['3f4e4f10-b174-4ef1-84dd-ac2d2dbe250d', 'c76bad41-7a0c-4959-99b6-c63c530d618c', 'd778f681-30b4-4df2-b8a7-ed1273da6e02']"
2023-10-04,"['66fb6382-cef1-4362-94e6-a9ef1bc894c7', '37181947-3167-449e-8373-9873818be8bc', '83ddf6c0-2de3-4475-a6a7-3546c0d03ab9']","['ad3760ee-71d7-4df7-b33d-b06db9432b1f', 'de47bfc7-df2e-4cdc-b9ad-b33f23b06fb8', '5b1aa8a0-76ba-4d01-b30d-de6b8c6a7483', 'ef5a5c67-1ef7-44a5-98a0-859418fbf436']","['e01b723d-43a7-441b-b4db-353026654fc1', '5df79b00-3d0d-4f76-850f-4cf8262657df', 'cd4e9565-8a6e-4b89-901d-26cdf987e0ba', '2560d33e-0acc-405c-bdc0-12b581bbdacd']","['207f3c3d-efa5-49eb-af59-b0f1cbe131eb', '6b668187-d812-4bf2-8e2b-54c7d5059a43', '12816c29-d117-4ceb-88da-21f3a79a269e']","['d1f81357-d2a3-4109-893d-b6876787c9b8', '19d71896-9cd8-42ba-9ae0-e5860f9de430', '9c5d21af-66ed-4202-8333-e906d5b62f88']"
2023-10-05,"['e02d48a9-fe7f-4417-89da-bf765d907aae', 'b939f729-4390-4a96-b8f3-0e9aa09edcb2', '318c1be5-30e9-49d8-8254-893fa07993b3']","['08601a5d-7bdf-42c8-b7b4-0ce13c60eec6', '58ec9044-372d-4572-8b82-f758acc486e2', '940c54c9-a23c-4110-b105-78548098d492', 'd1ed5eb0-af66-4f09-8654-a56a1c7317ae']","['690fc10a-11b0-4c98-a7a9-d5d539674a2e', '1a4b3b34-d9cf-47af-88ce-3bf3980faf1d', 'f7491106-e231-46f2-a263-26b2e67b9d6f', 'c00bce44-35be-443a-9a05-de43f46f91b7']","['b5c6eb83-ef49-4734-8801-3ffd067845fa', '6db84cd1-ebfa-4ee6-8b00-5709e15e27c1', 'c5d509d6-9bbb-40fb-ba7b-40f85021ca02']","['24d60de2-809a-4a3b-b962-b6a5682b79be', '697958ba-503d-446e-80d2-8ccbe62a601b', 'c9238f47-38d0-49ff-b825-40668726a363']"
2023-10-06,"['a869cb25-bea4-4c10-8260-f3460f66b4e6', '46546607-0a0a-4dd6-a5bb-5c684483b9b8', '6b93aaf5-87fa-43ba-8c5f-184d04312bd5']","['4abb9c2d-61b8-456c-b2de-36bbf5fc01d6', '6a47a1e4-0e99-4e7c-b5f9-b4f6337f4cbf', '824b394e-10d2-46dc-b7b7-0502bb8127ed', '0aeaf24e-c17e-4444-bcbb-00d31ccc33fe']","['b5f240a3-ec2f-48ed-9928-e0a296049673', 'f189d0f8-79dd-4d2b-9f40-aec053073834', '0baf44ca-9b8a-4f06-9c72-542c4d1404f1', 'ed8825ab-8fb4-4d3d-8458-62f957b30cf2']","['17fb6ec5-0084-4e63-b445-256796ed43e4', 'b7beeee2-e4ab-4ba8-8344-2b5d0717b84b', '8e2d5a6d-b517-4201-ac89-446becadda12']","['94c15ca3-e9ae-4ca8-9c77-a0aafcb7e3db', '5210da63-ae52-4bcd-839a-46149d8f58d6', 'a3533d42-a8fb-4368-b163-6cbe5f89a389']"
2023-10-07,"['3e9ab496-b914-4ca3-b7a4-8b7834ceb57e', 'c550866e-6c4a-420c-9e9d-c9602486082b', '2d8ae7d1-a05b-483b-97af-401b21650184']","['e33bd714-0071-4af3-bf1f-07cb91403708', 'dc42f045-a17b-4361-8686-5b35125b26da', '288437da-156e-4a3c-9aef-7ca9576e8031', 'bc72ddec-548f-4876-a54a-8f6936bb8ee1']","['794f260f-0b29-462a-a7d0-4ac0a448e748', '0daf2715-731f-4ad6-92ca-379051f50bdf', 'a7142c59-9a3b-4c85-9926-3768094863da', 'fa0ed30a-9723-41a5-8f81-5318cb4f77be']","['5e8956b6-4c24-4b0c-8815-5b7a01fd84e6', '23d43eb1-e7ce-4cee-aeca-08dd0dc6143b', 'e66fcdbb-4d12-4e1a-aa12-d84e3b633488']","['0ad5acc2-49fa-46e7-8273-7d44f0d5fb17', '2c451718-67e5-4bc4-a2b5-2c598e22272d', 'f1aa89ee-0c28-43ba-99b2-f7b96e3364d7']"
2023-10-08,"['25b0a4af-f43d-4e77-95f9-cd9940335065', '07810242-45f6-4ce4-a353-f53fb6a15042', 'b8eae396-3658-4171-982d-c498051aea67']","['d51c8ca2-3672-4ac5-8828-c54a9ec51c96', '0c450c21-6ef4-4f1c-b2af-f1b0de038e8c', '38bf97b4-9cdf-46b3-b537-05f76928216d', 'dd7c1361-bf1d-47c8-beee-81dd884f0470']","['a0de9749-08c1-4dc1-bf44-8f430a4bbb2a', 'bb975aaa-7d19-49bc-898e-56159ffc0c13', '06bd023d-e5b4-461f-ac2e-88c5c6c9b158', 'a51ab4eb-9560-4833-82f0-85e602284aec']","['fac33931-58db-456d-8df0-d56ec3ef8c82', '5dbaf5d4-df7e-45e6-ace0-35cfdda735d9', '4eeb933d-e77b-4884-ab47-c46c754059a7']","['05f2f797-88d5-4a5b-9480-70a800c09d2e', 'f7a274cb-9db8-4d30-888e-27f15b62c6c3', '0a9158c1-6e18-45f6-af3d-679f3f343a78']"
2023-10-09,"['b7b1955c-7315-4896-b26d-775a51c45603', 'e383186b-0bce-4433-92f1-cac4caf5b060', 'a38abe04-f1a7-49a4-95ec-7c3e9e08f398']","['1f9a2010-3475-4d82-9689-00b8005bad21', 'fa30135a-d7f7-417d-a9aa-4696a79205ef', '8acfffac-6904-4797-b0b5-33bf42cc2989', 'a5c239b9-c8ad-43ff-8c3f-5e334fe30438']","['084b316c-4705-4582-a563-2170142342d1', '84e41944-6846-48b3-8ac2-213f6a3d12e6', '07be877d-7a04-407b-84c3-a550d71fc0db', '6c13bde4-7c3c-4079-ac0f-c65cd1c020e6']","['904d8f86-58dc-44a5-9281-5a0ee521f5a7', '77f1fc03-4113-4055-9dbe-dbda7e42f5e8', '9d3603e9-aa12-4321-b2fe-fe31021792fb']","['2b6d48ea-a692-4ca0-84a0-11b64f80fc4e', 'c1b3d0c9-91fd-4e91-8411-b6d3bb31fdb2', '3d10d61a-f88c-4384-a8ba-80d44bdded68']"
2023-10-10,"['180df23d-8903-4670-933c-ef8975c8c733', 'e7028d78-0b92-4f33-be0e-0f531e0ffcfe', '593d3012-918b-47e4-9c94-f2f66d474ef6']","['a2a83fb4-fd5f-4b99-bacf-2664b65c120e', 'ae27753e-b083-4ee2-90ec-6d7248aa8e99', 'd5ca9696-bb66-4956-ab27-51e7a5cd031b', '1ac5bfaa-4c14-453e-893a-7a9ab517c844']","['e3ccb94b-abd7-442e-8677-85b7bea7957d', 'f028c71b-3b4a-47ab-99e6-38a01733ad6f', '47d94dc1-cbc0-4f4c-a87a-94df36089810', '09d67ac3-7894-49ad-942f-7cd5a3238ac4']","['3dfc95fb-e247-457e-ae68-0a444943464b', '8055f69f-d536-4508-aee7-2ba2b0951e37', '855150b1-17e0-4be8-acb3-54072514a3e5']","['c0f15c77-ef20-4f59-868b-2685df254a22', '4141748c-8a85-46f7-b1de-28937d23edd5', 'b8dd6e6c-a3c7-4302-b2a8-bb4ca92145a1']"
