ItemID,Name,ServingSize,Calories,TotalFat,SaturatedFat,Cholesterol,Sodium,TotalCarbohydrate,DietaryFiber,Sugars,Protein,Calcium,Iron,IsVegetarian,Ingredients,Allergens
35c4ff8b-dbde-4313-bf07-eb85cce3fae6,Grill Toppers,,,,,,,,,,,,,False,,[]
9e6eb50a-0778-49fd-a84e-d9d476f1a297,Long Grain Rice,1/2 Cup ,121.5508,0g,0g,0mg,0mg,27.3489,0.7597,0g,2.2791,9.876,1.5194,True,"Water (Water), Rice Long Grain (Long Grain Rice Enriched With Iron (Ferric Orthophosphate), Niacin, Thiamin (Thiamin Mononitrate), And Folic Acid.)","['Vegetarian', 'Vegan']"
4db1200d-e222-41be-860f-98e375b9fe19,Thai Yellow Shrimp Curry,1/2 Cup Serving,132.5827,7.2241,5.8418,32.7083,621.9972,11.3444,1.7514,7.3267,6.3007,36.3192,1.8018,False,"Milk Coconut 6 x #10 (Coconut Milk, Water, Polysorbate 60, Guar Gum, Sodium Carboxyl Methyl Cellulose, Sodium Metabisulfite (Preservative).), Salad Shrimp (Shrimp, Water, Salt, Sodium Tripolyphosphate (To Retain Moisture), Sodium Bisulfite (As A Preservative).), Pineapple Chunks (Pineapple, Clarified Pineapple Juice.), Carrots Bulk Jumbo 50# (Carrots), Peas (12 x 2.5#) (Peas, Salt), Yellow Onion, Water (Water), Fish Sauce (Anchovy Extract (Fish), Salt, Water, Sugar, Hydrolyzed Vegetable Protein (Corn).), Paste Curry Golden 12 x 35 oz (Garlic, Lemongrass, Salt, Shallot, Galangal, Dried Red Chili, Coriander Seed, Kaffir Lime Peel, Curry Powder, Cumin, Cinnamon, Turmeric, Cardamom, Nutmeg), Granulated Sugar (Sugar.), Red Pepper (Red Pepper), Lime Juice (Water, Lime Juice Concentrate, Sodium Benzoate (Preservative), Sodium Bisulfate (Preservative), Lime Oil.), Cilantro (Cilantro), Spice Paprika Spanish (Paprika), Crushed Red Pepper (Crushed Red Pepper)","['Coconut', 'Fish', 'Shellfish']"
19c3182f-4246-4603-a434-6968f547d251,French Onion Dip,1OZ LADLE,59.4806,4.8418,3.3628,19.1654,54.8147,2.1981,0.0213,0.9845,1.0672,40.1557,0.0195,True,"Sour Cream (Cultured Milk, Cream, Whey, Less Than 2% Of Food Starch-Modified (Corn), Sodium Phosphate, Guar Gum, Carrageenan, Calcium Sulfate, Locust Bean Gum, Potassium Sorbate (Preservative).), Base Onion Soup (Dehydrated Toasted Onion, Salt, Sugar, Monosodium Glutamate, Soybean Oil, Hydrolyzed Corn Soy Protein, Onion Powder, Natural Flavorings.)","['Milk', 'Soy', 'Vegetarian']"
7de5ab83-f966-4c27-92c8-733dcd5d3a1b,Iced Chocolate Cake,5 x 8 Cut Serving,194.2466,8.4174,2.59,19.4246,207.1963,28.4895,1.295,17.4822,2.59,19.4246,1.9425,True,"Sugar, Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (Soybean, Palm), Eggs, Skim Milk, High Fructose Corn Syrup, Corn Syrup, Cocoa Processed With Alkali, Contains 2% Or Less: Chocolate Processed With Alkali, Baking Soda, Mono- And Diglycerides, Salt, Modified Food Starch, Nonfat Dry Milk, Artificial Flavor, Esters Of Fatty Acids, Sodium Alginate, Corn Starch, Sodium Aluminum Phosphate, Red 40, Yellow 6, Blue 1, Soy Lecithin, Polysorbate 60, Gum Arabic, Gellan Gum, Sodium Stearoyl Lactylate, Disodium Phosphate, Xanthan Gum, Monocalcium Phosphate, Propylene Glycol Alginate.","['Eggs', 'Gluten', 'Milk', 'Soy', 'Vegetarian', 'Wheat']"
4d2a40cd-8b62-4d16-9ab8-21c88ada43d5,Whole Grain Dijon Mustard,Ounce,56.699,2.835,0g,0mg,652.0385,0g,0g,0g,0g,,,True,"Water, Mustard Seeds, Vinegar, Salt.","['Vegetarian', 'Vegan']"
8c244ac1-f5b9-4bca-b4a3-03e13b3f0eb8,Brownie,5x8 Cut Serving,155.5173,4.3739,1.944,0mg,121.4979,26.2435,0.972,18.4677,1.944,,1.2636,True,"Mix Brownie Gm (Sugar, Enriched Flour, Bleached (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Palm Oil, Cocoa Processed With Alkali, Soybean Oil. Contains 2% Or Less Of: Corn Starch, Egg White, Salt, Leavening (Baking Soda, Monocalcium Phosphate), Natural Flavor, Soy Flour, Nonfat Milk.), Water (Water)","['Eggs', 'Gluten', 'Milk', 'Soy', 'Vegetarian', 'Wheat']"
070b2f9f-f355-4e85-bd1f-97b54e946589,Garlic Cheese Bread,Slice,354.8241,23.1435,10.9902,30.0851,788.7001,25.6809,1.2544,2.3034,10.498,323.476,1.3982,True,"Texas Toast (Enriched Flour [Unbleached Wheat Flour, Malted Barley Flour, Reduced Iron, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Niacin (Vitamin B3), Folic Acid], Water, Sugar, Yeast, Soybean Oil, Salt, Wheat Gluten, Vinegar, Calcium Propionate (A Preservative), Yellow Corn Flour, Monoglycerides, Annatto Extract And Turmeric Added For Color, Wheat Starch, Calcium Sulfate, Potassium Chloride, Sodium Stearoyl Lactylate, Calcium Phosphate, Ascorbic Acid, Sesame.), Shredded Cheese (Paseurized Milk, Cheese Cultures, Salt, Enzymes.), Garlic Butter Spread (Margarine (Vegetable Oil Blend (Palm Oil And Soybean Oil), Water, Salt, Contains Less Than 2% Of Soy Lecithin, Vegetable Mono Diglycerides, Potassium Sorbate (A Preservative), Citric Acid, Natural Artificial Flavor, Beta Carotene (Color), Vitamin A Palmitate Added, Whey.), Garlic Seasoning (Garlic Powder.), Coarse Kosher Salt (Salt, Yellow Prussiate Of Soda), Sweet Basil, Spice Pepper Black Ground 18 oz (Black Pepper), Oregano (Oregano), Spice Parsley Flakes)","['Gluten', 'Milk', 'Sesame', 'Soy', 'Vegetarian', 'Wheat']"
c4b9e511-f1ce-4525-9da0-64ab232d0d52,Rice Sticks,Ounce,98.9398,0.2438,0.0936,0mg,2.8661,21.9652,0.6719,0g,2.1857,6.8833,0.2551,True,"Rice, Water","['Vegetarian', 'Vegan']"
233d82b6-7691-4ee9-823b-4e58bb02731b,Sour Cream,Tablespoon,30.0009,2.5001,1.7501,10.0003,25.0007,1.0,0g,0.5,0.495,20.0006,,True,"Cultured Milk, Cream, Whey, Less Than 2% Of Food Starch-Modified (Corn), Sodium Phosphate, Guar Gum, Carrageenan, Calcium Sulfate, Locust Bean Gum, Potassium Sorbate (Preservative).","['Milk', 'Vegetarian']"
de9dee8b-4279-46bd-94f2-e68ad42b6f45,Overnight Ginger Citrus Chia,1/2 Cup Serving,134.0052,6.8367,0.5781,0mg,60.9253,17.2468,7.8737,7.9603,3.5857,319.9996,0.2054,True,"Almond Milk (Almond Milk (Filtered Water, Almonds), Less Than 2% Of: Vitamin And Mineral Blend (Calcium Carbonate, Vitamin E Acetate, Vitamin A Palmitate, Vitamin D2), Sea Salt, Natural Flavor, Locust Bean Gum, Gellan Gum, Ascorbic Acid (To Protect Freshness).), Orange Zest (Orange), Chia Seed (Organic Black Chia Seeds), Juice Orange 100% Thirster 32 oz (Concentrated Orange Juice.), Pancake Syrup (Corn Syrup, Water, Natural And Artificial Maple Flavor, Salt, Carboxymethyl Cellulose, Sodium Benzoate And Potassium Sorbate (As Preservatives), Caramel Color.), Ginger Root 30# Case (Ginger Root.)","['Tree Nuts', 'Vegetarian', 'Vegan']"
e520a49c-410c-4ff2-92e2-43740b467e2b,Roasted Corn,4 oz Serving,122.6291,3.6206,0.0806,0mg,144.2422,19.9381,2.4923,9.969,3.7384,,0.2493,True,"Sweet Corn (Corn.), Canola Oil (Canola Oil With TBHQ And Citric Acid Added To Help Protect Flavor. Dimethylpolysiloxane, An Antifoaming Agent, Added.), Coarse Kosher Salt (Salt, Yellow Prussiate Of Soda)","['Vegetarian', 'Vegan']"
